zip;primary_city;state;latitude;longitude;country
00501;Holtsville;NY;40.81;-73.04;US
00544;Holtsville;NY;40.81;-73.04;US
00601;Adjuntas;PR;18.16;-66.72;US
00602;Aguada;PR;18.38;-67.18;US
00603;Aguadilla;PR;18.43;-67.15;US
00604;Aguadilla;PR;18.43;-67.15;US
00605;Aguadilla;PR;18.43;-67.15;US
00606;Maricao;PR;18.18;-66.98;US
00610;Anasco;PR;18.28;-67.14;US
00611;Angeles;PR;18.28;-66.79;US
00612;Arecibo;PR;18.45;-66.73;US
00613;Arecibo;PR;18.45;-66.73;US
00614;Arecibo;PR;18.45;-66.73;US
00616;Bajadero;PR;18.4;-66.66;US
00617;Barceloneta;PR;18.45;-66.53;US
00622;Boqueron;PR;17.99;-67.15;US
00623;Cabo Rojo;PR;18.08;-67.14;US
00624;Penuelas;PR;18.06;-66.72;US
00627;Camuy;PR;18.48;-66.84;US
00631;Castaner;PR;18.19;-66.82;US
00636;Rosario;PR;18.15;-67.06;US
00637;Sabana Grande;PR;18.08;-66.96;US
00638;Ciales;PR;18.33;-66.47;US
00641;Utuado;PR;18.27;-66.7;US
00646;Dorado;PR;18.47;-66.27;US
00647;Ensenada;PR;17.96;-66.94;US
00650;Florida;PR;18.36;-66.56;US
00652;Garrochales;PR;18.45;-66.6;US
00653;Guanica;PR;17.97;-66.93;US
00656;Guayanilla;PR;18.02;-66.79;US
00659;Hatillo;PR;18.48;-66.82;US
00660;Hormigueros;PR;18.14;-67.12;US
00662;Isabela;PR;18.5;-67.02;US
00664;Jayuya;PR;18.22;-66.59;US
00667;Lajas;PR;18.04;-67.06;US
00669;Lares;PR;18.29;-66.88;US
00670;Las Marias;PR;18.27;-67.06;US
00674;Manati;PR;18.43;-66.48;US
00676;Moca;PR;18.39;-67.11;US
00677;Rincon;PR;18.34;-67.25;US
00678;Quebradillas;PR;18.47;-66.93;US
00680;Mayaguez;PR;18.2;-67.14;US
00681;Mayaguez;PR;18.2;-67.14;US
00682;Mayaguez;PR;18.2;-67.14;US
00683;San German;PR;18.08;-67.04;US
00685;San Sebastian;PR;18.33;-66.99;US
00687;Morovis;PR;18.32;-66.4;US
00688;Sabana Hoyos;PR;18.38;-66.62;US
00690;San Antonio;PR;18.49;-67.09;US
00692;Vega Alta;PR;18.41;-66.32;US
00693;Vega Baja;PR;18.44;-66.39;US
00694;Vega Baja;PR;18.44;-66.39;US
00698;Yauco;PR;18.03;-66.86;US
00703;Aguas Buenas;PR;18.25;-66.1;US
00704;Aguirre;PR;17.96;-66.22;US
00705;Aibonito;PR;18.14;-66.26;US
00707;Maunabo;PR;18;-65.9;US
00714;Arroyo;PR;17.97;-66.06;US
00715;Mercedita;PR;18;-66.56;US
00716;Ponce;PR;17.98;-66.6;US
00717;Ponce;PR;17.98;-66.6;US
00718;Naguabo;PR;18.21;-65.73;US
00719;Naranjito;PR;18.3;-66.24;US
00720;Orocovis;PR;18.22;-66.39;US
00721;Palmer;PR;18.37;-65.77;US
00723;Patillas;PR;18;-66.01;US
00725;Caguas;PR;18.23;-66.03;US
00726;Caguas;PR;18.23;-66.03;US
00727;Caguas;PR;18.23;-66.03;US
00728;Ponce;PR;17.98;-66.6;US
00729;Canovanas;PR;18.37;-65.9;US
00730;Ponce;PR;17.98;-66.6;US
00731;Ponce;PR;17.98;-66.6;US
00732;Ponce;PR;17.98;-66.6;US
00733;Ponce;PR;17.98;-66.6;US
00734;Ponce;PR;17.98;-66.6;US
00735;Ceiba;PR;18.26;-65.64;US
00736;Cayey;PR;18.11;-66.16;US
00737;Cayey;PR;18.11;-66.16;US
00738;Fajardo;PR;18.33;-65.65;US
00739;Cidra;PR;18.17;-66.15;US
00740;Puerto Real;PR;18.33;-65.63;US
00741;Punta Santiago;PR;18.15;-65.76;US
00742;Roosevelt Roads;PR;18.27;-65.65;US
00744;Rio Blanco;PR;18.22;-65.79;US
00745;Rio Grande;PR;18.38;-65.83;US
00751;Salinas;PR;17.97;-66.29;US
00754;San Lorenzo;PR;18.19;-65.96;US
00757;Santa Isabel;PR;17.97;-66.4;US
